year,make,model,trim,condition (5 is best),odometer,state,Ext Color,Date Sold,"Ave Price (for that make,model,trim, year)",Actual Selling Price,,,
2013,ford,explorer,limited,5,12577,mi,gray,2015-02-25T10:00:00.000Z,31900,35200,,,
2013,ford,explorer,limited,4.9,17170,mo,white,2015-02-03T11:00:00.000Z,32500,34600,,,
2013,ford,explorer,limited,4.1,24811,mo,black,2015-01-20T11:00:00.000Z,30300,34000,,,
2013,ford,explorer,limited,5,11672,tn,—,2015-02-19T11:00:00.000Z,30100,33200,,,
2013,ford,explorer,limited,4.3,18808,mo,black,2015-02-17T11:00:00.000Z,33100,33100,,,
2013,ford,explorer,limited,4,48640,on,black,2015-02-17T10:00:00.000Z,37200,33000,,,
2013,ford,explorer,limited,3.8,23979,ny,white,2015-01-21T09:20:00.000Z,30900,32500,,,
2013,ford,explorer,limited,4.6,8731,ca,black,2015-02-26T12:30:00.000Z,30400,32200,,,
2013,ford,explorer,limited,4.9,16265,mi,green,2015-01-22T09:00:00.000Z,32200,32100,,,
2013,ford,explorer,limited,4.6,19828,ny,white,2015-01-07T17:20:00.000Z,29600,32100,,,
2013,ford,explorer,limited,4.2,30218,mn,—,2014-12-23T22:00:00.000Z,26000,32100,,,
2013,ford,explorer,limited,4.8,24011,co,black,2014-12-23T19:00:00.000Z,27100,32100,,,
2013,ford,explorer,limited,3.5,17887,,white,2015-01-15T12:00:00.000Z,31200,32000,,,
2013,ford,explorer,limited,4.7,30156,mn,—,2015-01-14T10:00:00.000Z,28800,32000,,,
2013,ford,explorer,limited,4.7,37286,il,black,2015-01-13T19:00:00.000Z,27000,32000,,,
2013,ford,explorer,limited,4.5,17199,tn,black,2015-01-22T11:00:00.000Z,32100,31900,,,
2013,ford,explorer,limited,3.9,25027,ca,black,2015-01-22T12:00:00.000Z,30700,31800,,,
2013,ford,explorer,limited,4.8,24305,nj,gray,2015-02-25T09:00:00.000Z,30300,31700,,,
2013,ford,explorer,limited,4.2,24088,pa,white,2015-02-06T09:00:00.000Z,31500,31700,,,
2013,ford,explorer,limited,4.9,25875,il,white,2015-01-27T11:00:00.000Z,30500,31700,,,
2013,ford,explorer,limited,4.9,34218,mi,black,2015-01-08T17:00:00.000Z,27300,31700,,,
2013,ford,explorer,limited,4.9,19164,ca,white,2015-02-12T12:00:00.000Z,28700,31600,,,
2013,ford,explorer,limited,4.6,19323,mo,white,2015-02-03T11:00:00.000Z,30900,31600,,,
2013,ford,explorer,limited,4.2,27226,mn,—,2015-01-14T10:00:00.000Z,29300,31600,,,
2013,ford,explorer,limited,4.7,14031,tn,—,2015-02-11T10:00:00.000Z,33800,31400,,,
2013,ford,explorer,limited,4.3,30022,mi,brown,2015-02-25T10:00:00.000Z,29400,31300,,,
2013,ford,explorer,limited,4,16617,nv,white,2015-02-13T12:00:00.000Z,29400,31200,,,
2013,ford,explorer,limited,4.9,18919,ca,black,2015-02-12T12:00:00.000Z,30000,31200,,,
2013,ford,explorer,limited,4.8,20647,fl,—,2015-01-07T18:00:00.000Z,28400,31100,,,
2013,ford,explorer,limited,4.3,37307,mo,white,2015-02-17T11:00:00.000Z,29300,31000,,,
2013,ford,explorer,limited,4.7,22150,ga,black,2015-02-03T09:30:00.000Z,27500,30900,,,
2013,ford,explorer,limited,4.7,23810,tn,—,2015-02-05T11:00:00.000Z,31500,30800,,,
2013,ford,explorer,limited,5,22905,fl,white,2015-01-30T09:00:00.000Z,27800,30800,,,
2013,ford,explorer,limited,4.9,16120,ga,white,2015-02-24T09:30:00.000Z,30400,30600,,,
2013,ford,explorer,limited,3.9,27147,pa,black,2015-01-07T17:00:00.000Z,28400,30500,,,
2013,ford,explorer,limited,3.6,16649,,black,2015-01-15T12:00:00.000Z,27200,30200,,,
2013,ford,explorer,limited,3.8,31227,ca,black,2015-02-19T12:30:00.000Z,30200,30100,,,
2013,ford,explorer,limited,3.9,30079,ne,black,2015-02-26T11:00:00.000Z,29300,30000,,,
2013,ford,explorer,limited,3.6,32795,ca,white,2015-01-29T12:00:00.000Z,28800,30000,,,
2013,ford,explorer,limited,3.3,20483,ca,gray,2015-01-08T20:00:00.000Z,29900,29800,,,
2013,ford,explorer,limited,3.7,37433,oh,gray,2015-01-27T09:00:00.000Z,28700,29700,,,
2013,ford,explorer,limited,4.2,36934,ca,black,2015-01-08T20:00:00.000Z,27900,29700,,,
2013,ford,explorer,limited,4.1,41787,tn,black,2015-01-21T10:00:00.000Z,27500,29600,,,
2013,ford,explorer,limited,3.8,25351,il,green,2015-01-08T18:00:00.000Z,29100,29600,,,
2013,ford,explorer,limited,4.9,23906,ca,red,2015-02-12T12:00:00.000Z,29600,29500,,,
2013,ford,explorer,limited,4.1,18731,nj,gray,2015-01-21T09:00:00.000Z,31800,29500,,,
2013,ford,explorer,limited,3.6,20004,ny,silver,2015-01-07T17:20:00.000Z,29600,29500,,,
2013,ford,explorer,limited,3.7,22543,pa,blue,2015-02-20T17:00:00.000Z,31900,29400,,,
2013,ford,explorer,limited,4.5,36246,ca,silver,2015-02-25T12:30:00.000Z,28400,29300,,,
2013,ford,explorer,limited,3.9,25711,ny,gray,2015-02-18T09:20:00.000Z,31700,29300,,,
2013,ford,explorer,limited,4.1,35507,mo,gray,2015-02-03T11:00:00.000Z,29300,29300,,,
2013,ford,explorer,limited,4.5,28463,fl,red,2015-01-16T09:00:00.000Z,29400,29300,,,
2013,ford,explorer,limited,4.7,41260,tn,brown,2015-01-14T10:00:00.000Z,26800,29300,,,
2013,ford,explorer,limited,4.2,43127,il,white,2015-01-08T18:00:00.000Z,26000,29300,,,
2013,ford,explorer,limited,3.6,44618,,white,2015-01-15T10:00:00.000Z,26600,29100,,,
2013,ford,explorer,limited,4.5,35320,mo,white,2015-02-17T11:00:00.000Z,29700,29000,,,
2013,ford,explorer,limited,4.4,21779,fl,black,2015-02-13T09:00:00.000Z,28800,29000,,,
2013,ford,explorer,limited,4.4,35509,nj,black,2015-02-11T09:00:00.000Z,29600,29000,,,
2013,ford,explorer,limited,4.4,33951,fl,—,2015-01-21T10:00:00.000Z,28400,29000,,,
2013,ford,explorer,limited,4.6,27345,mo,black,2015-01-20T11:00:00.000Z,26500,29000,,,
2013,ford,explorer,limited,3.9,34855,ca,white,2014-12-18T20:00:00.000Z,25600,29000,,,
2013,ford,explorer,limited,3.5,28140,nj,black,2015-01-07T17:00:00.000Z,28300,28900,,,
2013,ford,explorer,limited,4.1,39986,mo,black,2015-02-18T10:00:00.000Z,28700,28700,,,
2013,ford,explorer,limited,3.7,31827,tn,—,2014-12-23T18:30:00.000Z,25700,28600,,,
2013,ford,explorer,limited,4.1,30489,nj,silver,2015-01-07T17:00:00.000Z,27900,28500,,,
2013,ford,explorer,limited,4.4,39680,mo,—,2015-02-10T13:30:00.000Z,28800,28300,,,
2013,ford,explorer,limited,4.3,37088,ca,silver,2015-02-05T12:00:00.000Z,29000,28300,,,
2013,ford,explorer,limited,3.7,38002,mo,gray,2015-02-03T11:00:00.000Z,28800,28300,,,
2013,ford,explorer,limited,4.3,28771,nv,black,2015-01-09T20:00:00.000Z,28500,28300,,,
2013,ford,explorer,limited,3.9,37622,co,burgundy,2015-02-25T11:30:00.000Z,28200,28200,,,
2013,ford,explorer,limited,4.2,35540,tx,black,2015-02-18T10:30:00.000Z,28800,28200,,,
2013,ford,explorer,limited,3.7,38015,mo,white,2015-02-17T11:00:00.000Z,29200,28200,,,
2013,ford,explorer,limited,4.6,37947,mo,red,2015-02-17T11:00:00.000Z,29200,28200,,,
2013,ford,explorer,limited,3.8,36351,mo,—,2015-02-03T11:00:00.000Z,29100,28200,,,
2013,ford,explorer,limited,4.1,16411,mi,gray,2015-02-19T09:00:00.000Z,30100,28100,,,
2013,ford,explorer,limited,5,34532,ga,gray,2015-01-20T09:30:00.000Z,28100,28100,,,
2013,ford,explorer,limited,4.1,39588,co,silver,2015-02-25T11:30:00.000Z,27900,28000,,,
2013,ford,explorer,limited,3.2,36819,tn,—,2015-02-11T10:30:00.000Z,29400,28000,,,
2013,ford,explorer,limited,3.7,39778,pa,white,2015-02-06T09:00:00.000Z,28600,28000,,,
2013,ford,explorer,limited,3.3,33318,ca,black,2015-01-08T19:30:00.000Z,27700,28000,,,
2013,ford,explorer,limited,4.5,37150,mi,blue,2014-12-18T17:00:00.000Z,24800,28000,,,
2013,ford,explorer,limited,4.8,36286,mo,—,2015-02-24T13:30:00.000Z,28400,27900,,,
2013,ford,explorer,limited,4.5,41183,pa,gray,2015-02-04T09:00:00.000Z,28300,27900,,,
2013,ford,explorer,limited,4.4,37932,mo,white,2015-01-14T10:00:00.000Z,27400,27900,,,
2013,ford,explorer,limited,3.7,39910,mo,white,2015-02-17T11:00:00.000Z,28800,27800,,,
2013,ford,explorer,limited,4.6,38665,mi,black,2015-02-05T09:00:00.000Z,28700,27800,,,
2013,ford,explorer,limited,3.5,40324,mo,red,2015-02-17T11:00:00.000Z,28700,27700,,,
2013,ford,explorer,limited,4.9,46936,il,white,2015-02-17T10:00:00.000Z,27300,27700,,,
2013,ford,explorer,limited,4.9,41996,mo,—,2015-01-27T13:30:00.000Z,27900,27700,,,
2013,ford,explorer,limited,4.1,39954,mo,white,2015-01-20T11:00:00.000Z,27700,27700,,,
2013,ford,explorer,limited,4.1,37158,mo,silver,2015-02-25T10:00:00.000Z,28300,27600,,,
2013,ford,explorer,limited,4.4,44024,mo,black,2015-02-18T10:00:00.000Z,27900,27600,,,
2013,ford,explorer,limited,3.8,40813,mo,black,2015-02-17T11:00:00.000Z,28600,27600,,,
2013,ford,explorer,limited,3.9,43056,oh,white,2015-02-10T09:00:00.000Z,28100,27600,,,
2013,ford,explorer,limited,4.3,44382,az,black,2015-02-05T11:00:00.000Z,27700,27600,,,
2013,ford,explorer,limited,4.9,41006,mn,white,2015-02-04T10:30:00.000Z,28300,27600,,,
2013,ford,explorer,limited,3.9,39342,wi,gray,2015-01-07T18:00:00.000Z,26400,27600,,,
2013,ford,explorer,limited,3.7,20555,ga,black,2015-01-06T09:30:00.000Z,28500,27600,,,
2013,ford,explorer,limited,4.4,36174,tx,—,2014-12-18T18:30:00.000Z,24600,27600,,,
2013,ford,explorer,limited,4.5,41162,mo,—,2015-02-17T10:30:00.000Z,28500,27500,,,
2013,ford,explorer,limited,4.2,42747,pa,white,2015-02-06T09:00:00.000Z,28100,27500,,,
2013,ford,explorer,limited,4.4,43934,mn,—,2015-02-04T10:30:00.000Z,27800,27500,,,
2013,ford,explorer,limited,4.5,41947,mo,red,2015-02-03T10:30:00.000Z,28100,27500,,,
2013,ford,explorer,limited,4,40185,il,black,2015-01-22T10:30:00.000Z,28000,27500,,,
2013,ford,explorer,limited,4.3,46593,ca,black,2015-01-21T12:30:00.000Z,26700,27500,,,
2013,ford,explorer,limited,4.7,19652,pa,white,2015-01-02T17:00:00.000Z,29300,27500,,,
2013,ford,explorer,limited,3.9,40743,tx,—,2014-12-23T22:00:00.000Z,26500,27500,,,
2013,ford,explorer,limited,4.5,45503,nj,gray,2015-02-18T09:00:00.000Z,27600,27400,,,
2013,ford,explorer,limited,3.5,43644,mo,red,2015-02-11T10:00:00.000Z,28000,27400,,,
2013,ford,explorer,limited,3.2,42331,mo,gray,2015-02-04T10:00:00.000Z,28100,27400,,,
2013,ford,explorer,limited,5,41317,mo,white,2015-01-20T10:30:00.000Z,27500,27400,,,
2013,ford,explorer,limited,4.3,22947,,gray,2015-01-15T09:50:00.000Z,26500,27400,,,
2013,ford,explorer,limited,3.8,28778,fl,—,2014-12-23T22:00:00.000Z,28400,27400,,,
2013,ford,explorer,limited,4.4,42371,mo,green,2015-02-17T11:00:00.000Z,28300,27300,,,
2013,ford,explorer,limited,4.4,23382,fl,—,2015-01-08T09:00:00.000Z,27300,27300,,,
2013,ford,explorer,limited,4.5,39978,mn,—,2015-02-25T10:00:00.000Z,27900,27200,,,
2013,ford,explorer,limited,4.8,17810,mn,—,2015-02-25T10:00:00.000Z,30300,27200,,,
2013,ford,explorer,limited,3.5,43007,mo,black,2015-01-21T10:00:00.000Z,27300,27200,,,
2013,ford,explorer,limited,4.2,41391,,burgundy,2015-01-15T11:30:00.000Z,27200,27200,,,
2013,ford,explorer,limited,4.4,40105,mo,white,2015-01-14T10:00:00.000Z,27000,27200,,,
2013,ford,explorer,limited,3.5,26033,tx,—,2015-02-12T10:30:00.000Z,29400,27100,,,
2013,ford,explorer,limited,4.4,45101,mo,gray,2015-02-04T10:00:00.000Z,27600,27100,,,
2013,ford,explorer,limited,4.1,46835,mo,red,2015-01-14T10:00:00.000Z,25700,27100,,,
2013,ford,explorer,limited,3.7,36558,tn,—,2015-02-25T10:30:00.000Z,28400,27000,,,
2013,ford,explorer,limited,4.4,42665,mo,—,2015-02-03T10:30:00.000Z,28000,27000,,,
2013,ford,explorer,limited,4.4,44625,pa,black,2015-01-30T09:00:00.000Z,27400,27000,,,
2013,ford,explorer,limited,3.9,44184,mo,black,2015-01-21T10:00:00.000Z,27100,27000,,,
2013,ford,explorer,limited,4.9,29459,tx,—,2015-01-14T10:20:00.000Z,25700,27000,,,
2013,ford,explorer,limited,3.8,42619,tx,—,2014-12-23T22:00:00.000Z,26200,27000,,,
2013,ford,explorer,limited,4.4,42213,mi,gold,2015-02-19T19:00:00.000Z,28100,26900,,,
2013,ford,explorer,limited,3.6,45339,mo,red,2015-02-03T11:00:00.000Z,27500,26900,,,
2013,ford,explorer,limited,4.1,43580,md,black,2015-01-20T09:30:00.000Z,27100,26900,,,
2013,ford,explorer,limited,3.9,39385,tn,—,2015-02-25T10:00:00.000Z,27900,26800,,,
2013,ford,explorer,limited,3.5,51248,co,white,2015-02-11T12:00:00.000Z,26600,26800,,,
2013,ford,explorer,limited,4,46885,mo,red,2015-01-27T13:30:00.000Z,27000,26800,,,
2013,ford,explorer,limited,4.5,35863,nv,black,2014-12-31T20:15:00.000Z,25800,26750,,,
2013,ford,explorer,limited,3.5,42427,ny,gray,2015-02-18T09:20:00.000Z,28200,26700,,,
2013,ford,explorer,limited,4.2,50723,co,gray,2015-02-04T11:00:00.000Z,26600,26700,,,
2013,ford,explorer,limited,3.2,44271,pa,black,2015-01-16T09:00:00.000Z,26900,26700,,,
2013,ford,explorer,limited,3.9,42454,mo,white,2015-01-14T10:00:00.000Z,26500,26700,,,
2013,ford,explorer,limited,3.9,33275,fl,black,2015-02-17T09:30:00.000Z,26800,26600,,,
2013,ford,explorer,limited,4.3,41914,pa,silver,2015-01-16T09:00:00.000Z,27200,26600,,,
2013,ford,explorer,limited,3.7,41579,pa,white,2015-02-27T09:00:00.000Z,27500,26500,,,
2013,ford,explorer,limited,3.5,41671,mn,gray,2015-02-25T10:30:00.000Z,27600,26500,,,
2013,ford,explorer,limited,3.5,51516,co,silver,2015-02-11T12:00:00.000Z,26500,26500,,,
2013,ford,explorer,limited,4.4,35532,ga,silver,2015-01-06T09:30:00.000Z,26100,26500,,,
2013,ford,explorer,limited,3.7,37399,co,silver,2014-12-23T19:00:00.000Z,24700,26500,,,
